"183.2";"04";"107";"18543";"219";"2022-08-30T00:00:00";"ILLES BALEARS";"Delictes contra la llibertat e identitat sexuals";"2";"H";"Abús i agressió sexual a menors de 16 anys"
"527.0";"04";"116";"18021";"264";"2022-08-22T00:00:00";"ILLES BALEARS";"D'altres";;"H";"Delictes contra la constitució"
"520.0";"04";"116";"18021";"264";"2022-08-22T00:00:00";"ILLES BALEARS";"D'altres";;"H";"Delictes contra la constitució"
"284.2";"04";"111";"18021";"235";"2022-08-22T00:00:00";"ILLES BALEARS";"Delictes contra el patrimoni i contra l'ordre socioeconòmic";;"H";"Altres delictes contra l'ordre socioeconòmic"
"244.1";"04";"111";"18570";"234";"2022-08-03T00:00:00";"ILLES BALEARS";"Delictes contra el patrimoni i contra l'ordre socioeconòmic";"2";"H";"Robatori I furt d'ús de vehicles"
"153.2";"04";"102";"18429";"207";"2022-07-27T00:00:00";"ILLES BALEARS";"De les lesions";"1";"H";"violència doméstica habitual"
"169.2";"04";"104";"18429";"210";"2022-07-27T00:00:00";"ILLES BALEARS";"Delictes contra la llibertat";"1";"H";"Amenaces"
"173.2";"04";"105";"17126";"212";"2022-07-16T00:00:00";"ILLES BALEARS";"De les tortures i altres delictes contra la integritat moral";"1";"H";"Tracte degradant"
"147.1";"04";"102";"17126";"206";"2022-07-16T00:00:00";"ILLES BALEARS";"De les lesions";"1";"H";"Lesions i les seves formes"
"234.1";"04";"111";"18422";"230";"2022-07-16T00:00:00";"ILLES BALEARS";"Delictes contra el patrimoni i contra l'ordre socioeconòmic";"1";"H";"Furt"
"153.2";"04";"102";"17126";"207";"2022-07-16T00:00:00";"ILLES BALEARS";"De les lesions";"1";"H";"violència doméstica habitual"
"171.7";"04";"104";"18574";"210";"2022-07-04T00:00:00";"ILLES BALEARS";"Delictes contra la llibertat";"1";"H";"Amenaces"
"147.3";"04";"102";"18574";"206";"2022-07-04T00:00:00";"ILLES BALEARS";"De les lesions";"1";"H";"Lesions i les seves formes"
"550.1";"04";"115";"16687";"250";"2022-07-04T00:00:00";"ILLES BALEARS";"Dels desordres públics";"1";"H";"Atemptat contra l'autoritat, resistència i desobediència"
"245.2";"04";"111";"18574";"235";"2022-07-04T00:00:00";"ILLES BALEARS";"Delictes contra el patrimoni i contra l'ordre socioeconòmic";"1";"H";"Altres delictes contra l'ordre socioeconòmic"
"468.1";"04";"114";"18284";"249";"2022-06-29T00:00:00";"ILLES BALEARS";"Dels delictes contra l'Administracio de Justicia";"1";"D";"Trencament de condemna"
"178.0";"04";"107";"16509";"217";"2022-06-21T00:00:00";"ILLES BALEARS";"Delictes contra la llibertat e identitat sexuals";"2";"H";"Agressió sexual"
"244.0";"04";"111";"18581";"234";"2022-06-20T00:00:00";"ILLES BALEARS";"Delictes contra el patrimoni i contra l'ordre socioeconòmic";"2";"H";"Robatori I furt d'ús de vehicles"
"384.0";"04";"113";"18581";"244";"2022-06-20T00:00:00";"ILLES BALEARS";"Dels delictes contra la seguretat colectiva";"2";"H";"Delictes contra la seguretat vial"
"169.2";"04";"104";"18586";"210";"2022-06-19T00:00:00";"ILLES BALEARS";"Delictes contra la llibertat";"2";"H";"Amenaces"
"147.2";"04";"102";"18586";"206";"2022-06-19T00:00:00";"ILLES BALEARS";"De les lesions";"2";"H";"Lesions i les seves formes"
"242.1";"04";"111";"18563";"232";"2022-06-19T00:00:00";"ILLES BALEARS";"Delictes contra el patrimoni i contra l'ordre socioeconòmic";"2";"H";"Robatori amb violència o intimidació"
"237.0";"04";"111";"18563";"231";"2022-06-19T00:00:00";"ILLES BALEARS";"Delictes contra el patrimoni i contra l'ordre socioeconòmic";"2";"H";"Robatori amb força en les coses"
"147.2";"04";"102";"18563";"206";"2022-06-19T00:00:00";"ILLES BALEARS";"De les lesions";"2";"H";"Lesions i les seves formes"
"237.0";"04";"111";"18547";"231";"2022-06-19T00:00:00";"ILLES BALEARS";"Delictes contra el patrimoni i contra l'ordre socioeconòmic";"2";"H";"Robatori amb força en les coses"
"147.2";"04";"102";"18547";"206";"2022-06-19T00:00:00";"ILLES BALEARS";"De les lesions";"2";"H";"Lesions i les seves formes"
"550.1";"04";"115";"18441";"250";"2022-06-17T00:00:00";"ILLES BALEARS";"Dels desordres públics";"2";"H";"Atemptat contra l'autoritat, resistència i desobediència"
